所在区,分類,施設名,組織,認可定員(全体),所在地,電話番号,受入開始年齢 満3歳～,受入開始年齢 3歳～,預かり保育 開始時間（朝）,預かり保育 終了時間（夕）,園バス,給食,未就園児教室 受入開始年齢 １歳～,未就園児教室 受入開始年齢 ２歳～,園庭開放
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　宝地院保育園,(福),145,荒田町３－１７－１,511-0167,,○,７：００,１９：0０,-,週５日,-,-,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　大同保育園,(福),165,大同町２－２－１６,521-5081,○,,７：００,１９：００,-,週６日,-,-,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　モーツァルト兵庫こども園,(福),105,大開通１０－1－４,575‐6666,,○,７：００,１８：００,-,週６日,-,-,○
兵庫区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　ゆりかごこども園,(福),102,氷室町２－１４－１,521-1122,,○,７：００,１９：００,-,週６日,-,-,○
兵庫区,幼保連携型認定こども園,（仮称）大慈ひょうご幼保連携型認定こども園,(福),99,東出町２－１２－９,671-0173,,○,７：００,２０：００,-,週６日,-,-,○
北区（本区）,幼稚園型認定こども園,認定こども園　鈴蘭台幼稚園,(学),347,鈴蘭台南町１－２－１５,591-0617,○,,７：００,１９：００,○,週４日,-,○,○
北区（本区）,幼保連携型認定こども園,幼保連携型認定こども園　五葉幼稚園,(学),320,北五葉３－７－２,591-0718,○,,７：００,１９：００,○,週６日,-,○,○
北区（北神）,幼稚園（私学助成制度）,ありの藤原幼稚園,(学),240,藤原台南町１－１１,981-1111,,○,８：００,１８：００,○,週３日,-,-,○
北区（本区）,幼稚園（私学助成制度）,聖ミカエル幼稚園,(学),240,南五葉３－１－２,591-6789,○,,７：００,２０：００,○,週３日,○,-,-
北区（北神）,幼稚園（新制度）,北六甲幼稚園,(学),350,有野台３－１２,981-0135,○,,８：００,１８：００,○,週４日,-,○,○
北区（本区）,幼稚園（私学助成制度）,広陵幼稚園,(学),400,広陵町２－３２,581-8037,,○,７：３０,１９：００,○,週４日,-,○,-
北区（本区）,幼稚園（私学助成制度）,泉台幼稚園,(学),320,泉台２－２－３,593-9200,○,,７：００,１９：００,○,週３日,-,満２歳,○
北区（本区）,幼保連携型認定こども園,幼保連携型認定こども園　星和台幼稚園,(学),220,星和台２－１６－１３,593-9100,○,,７：００,１９：００,○,週５日,-,○,○
北区（本区）,幼稚園型認定こども園,認定こども園　ひよどり台幼稚園,(学),192,ひよどり台５－２,743-2061,,○,８：００,１９：００,○,週５日,-,○,○
北区（北神）,幼稚園（私学助成制度）,レナ幼稚園,(学),305,有野町唐櫃字西ノ垣２８３３,981-0607,,○,７：３０,１９：００,○,週４日,-,○,-
北区（本区）,幼稚園型認定こども園,認定こども園　正英幼稚園,(学),260,泉台５－１１,593-3176,○,,７：００,１９：００,○,週５日,-,○,○
